"Id","MSSubClass","MSZoning","LotFrontage","LotArea","Street","Alley","LotShape","LandContour","Utilities","LotConfig","LandSlope","Neighborhood","Condition1","Condition2","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","Heating","HeatingQC","CentralAir","Electrical","X1stFlrSF","X2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","FireplaceQu","GarageType","GarageYrBlt","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","PoolArea","PoolQC","Fence","MiscFeature","MiscVal","MoSold","YrSold","SaleType","SaleCondition","SalePrice","TotalSF"
1461,NA,"RH",80,11622,1,1,4,"Lvl","AllPub","Inside",3,"NAmes","Feedr","Norm","1Fam","1Story",5,6,1961,1961,"Gable","CompShg","VinylSd","VinylSd","None",0,3,3,"CBlock",4,4,2,4,468,3,144,270,882,"GasA",3,2,"SBrkr",896,0,0,896,0,0,1,0,2,1,3,5,8,0,1,"Attchd",1961,2,1,730,4,4,3,140,0,0,0,120,0,1,4,"None",0,6,5,"WD","Normal",NA,1778
1462,NA,"RL",81,14267,1,1,3,"Lvl","AllPub","Corner",3,"NAmes","Norm","Norm","1Fam","1Story",6,6,1958,1958,"Hip","CompShg","Wd Sdng","Wd Sdng","BrkFace",108,3,3,"CBlock",4,4,2,6,923,2,0,406,1329,"GasA",3,2,"SBrkr",1329,0,0,1329,0,0,1,1,3,1,4,6,8,0,1,"Attchd",1958,2,1,312,4,4,3,393,36,0,0,0,0,1,1,"Gar2",12500,6,5,"WD","Normal",NA,2658
1463,NA,"RL",74,13830,1,1,3,"Lvl","AllPub","Inside",3,"Gilbert","Norm","Norm","1Fam","2Story",5,5,1997,1998,"Gable","CompShg","VinylSd","VinylSd","None",0,3,3,"PConc",5,4,2,7,791,2,0,137,928,"GasA",4,2,"SBrkr",928,701,0,1629,0,0,2,1,3,1,3,6,8,1,4,"Attchd",1997,4,2,482,4,4,3,212,34,0,0,0,0,1,4,"None",0,3,5,"WD","Normal",NA,2557
1464,NA,"RL",78,9978,1,1,3,"Lvl","AllPub","Inside",3,"Gilbert","Norm","Norm","1Fam","2Story",6,6,1998,1998,"Gable","CompShg","VinylSd","VinylSd","BrkFace",20,3,3,"PConc",4,4,2,7,602,2,0,324,926,"GasA",5,2,"SBrkr",926,678,0,1604,0,0,2,1,3,1,4,7,8,1,5,"Attchd",1998,4,2,470,4,4,3,360,36,0,0,0,0,1,1,"None",0,6,5,"WD","Normal",NA,2530
1465,NA,"RL",43,5005,1,1,3,"HLS","AllPub","Inside",3,"StoneBr","Norm","Norm","TwnhsE","1Story",8,5,1992,1992,"Gable","CompShg","HdBoard","HdBoard","None",0,4,3,"PConc",5,4,2,6,263,2,0,1017,1280,"GasA",5,2,"SBrkr",1280,0,0,1280,0,0,2,0,2,1,4,5,8,0,1,"Attchd",1992,3,2,506,4,4,3,0,82,0,0,144,0,1,1,"None",0,1,5,"WD","Normal",NA,2560
1466,NA,"RL",75,10000,1,1,3,"Lvl","AllPub","Corner",3,"Gilbert","Norm","Norm","1Fam","2Story",6,5,1993,1994,"Gable","CompShg","HdBoard","HdBoard","None",0,3,3,"PConc",5,4,2,2,0,2,0,763,763,"GasA",4,2,"SBrkr",763,892,0,1655,0,0,2,1,3,1,3,7,8,1,4,"Attchd",1993,4,2,440,4,4,3,157,84,0,0,0,0,1,1,"None",0,4,5,"WD","Normal",NA,2418
1467,NA,"RL",43,7980,1,1,3,"Lvl","AllPub","Inside",3,"Gilbert","Norm","Norm","1Fam","1Story",6,7,1992,2007,"Gable","CompShg","HdBoard","HdBoard","None",0,3,4,"PConc",5,4,2,6,935,2,0,233,1168,"GasA",5,2,"SBrkr",1187,0,0,1187,1,0,2,0,3,1,3,6,8,0,1,"Attchd",1992,4,2,420,4,4,3,483,21,0,0,0,0,1,5,"Shed",500,3,5,"WD","Normal",NA,2355
1468,NA,"RL",63,8402,1,1,3,"Lvl","AllPub","Inside",3,"Gilbert","Norm","Norm","1Fam","2Story",6,5,1998,1998,"Gable","CompShg","VinylSd","VinylSd","None",0,3,3,"PConc",5,4,2,2,0,2,0,789,789,"GasA",4,2,"SBrkr",789,676,0,1465,0,0,2,1,3,1,3,7,8,1,5,"Attchd",1998,4,2,393,4,4,3,0,75,0,0,0,0,1,1,"None",0,5,5,"WD","Normal",NA,2254
1469,NA,"RL",85,10176,1,1,4,"Lvl","AllPub","Inside",3,"Gilbert","Norm","Norm","1Fam","1Story",7,5,1990,1990,"Gable","CompShg","HdBoard","HdBoard","None",0,3,3,"PConc",5,4,5,7,637,2,0,663,1300,"GasA",4,2,"SBrkr",1341,0,0,1341,1,0,1,1,2,1,4,5,8,1,2,"Attchd",1990,2,2,506,4,4,3,192,0,0,0,0,0,1,1,"None",0,2,5,"WD","Normal",NA,2641
1470,NA,"RL",70,8400,1,1,4,"Lvl","AllPub","Corner",3,"NAmes","Norm","Norm","1Fam","1Story",4,5,1970,1970,"Gable","CompShg","Plywood","Plywood","None",0,3,3,"CBlock",4,4,2,6,804,4,78,0,882,"GasA",3,2,"SBrkr",882,0,0,882,1,0,1,0,2,1,3,4,8,0,1,"Attchd",1970,4,2,525,4,4,3,240,0,0,0,0,0,1,4,"None",0,4,5,"WD","Normal",NA,1764
