"Id","MSSubClass","MSZoning","LotFrontage","LotArea","Street","Alley","LotShape","LandContour","Utilities","LotConfig","LandSlope","Neighborhood","Condition1","Condition2","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","Heating","HeatingQC","CentralAir","Electrical","X1stFlrSF","X2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","FireplaceQu","GarageType","GarageYrBlt","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","PoolArea","PoolQC","Fence","MiscFeature","MiscVal","MoSold","YrSold","SaleType","SaleCondition","SalePrice","TotalSF"
1,NA,"RL",65,8450,1,1,4,"Lvl","AllPub","Inside",3,"CollgCr","Norm","Norm","1Fam","2Story",7,5,2003,2003,"Gable","CompShg","VinylSd","VinylSd","BrkFace",196,4,3,"PConc",5,4,2,7,706,2,0,150,856,"GasA",5,2,"SBrkr",856,854,0,1710,1,0,2,1,3,1,4,8,8,0,1,"Attchd",2003,3,2,548,4,4,3,0,61,0,0,0,0,1,1,"None",0,2,3,"WD","Normal",208500,2566
2,NA,"RL",80,9600,1,1,4,"Lvl","AllPub","FR2",3,"Veenker","Feedr","Norm","1Fam","1Story",6,8,1976,1976,"Gable","CompShg","MetalSd","MetalSd","None",0,3,3,"CBlock",5,4,5,6,978,2,0,284,1262,"GasA",5,2,"SBrkr",1262,0,0,1262,0,1,2,0,3,1,3,6,8,1,4,"Attchd",1976,3,2,460,4,4,3,298,0,0,0,0,0,1,1,"None",0,5,2,"WD","Normal",181500,2524
3,NA,"RL",68,11250,1,1,3,"Lvl","AllPub","Inside",3,"CollgCr","Norm","Norm","1Fam","2Story",7,5,2001,2002,"Gable","CompShg","VinylSd","VinylSd","BrkFace",162,4,3,"PConc",5,4,3,7,486,2,0,434,920,"GasA",5,2,"SBrkr",920,866,0,1786,1,0,2,1,3,1,4,6,8,1,4,"Attchd",2001,3,2,608,4,4,3,0,42,0,0,0,0,1,1,"None",0,9,3,"WD","Normal",223500,2706
4,NA,"RL",60,9550,1,1,3,"Lvl","AllPub","Corner",3,"Crawfor","Norm","Norm","1Fam","2Story",7,5,1915,1970,"Gable","CompShg","Wd Sdng","Wd Shng","None",0,3,3,"BrkTil",4,5,2,6,216,2,0,540,756,"GasA",4,2,"SBrkr",961,756,0,1717,1,0,1,0,3,1,4,7,8,1,5,"Detchd",1998,2,3,642,4,4,3,0,35,272,0,0,0,1,1,"None",0,2,1,"WD","Abnorml",140000,2473
5,NA,"RL",84,14260,1,1,3,"Lvl","AllPub","FR2",3,"NoRidge","Norm","Norm","1Fam","2Story",8,5,2000,2000,"Gable","CompShg","VinylSd","VinylSd","BrkFace",350,4,3,"PConc",5,4,4,7,655,2,0,490,1145,"GasA",5,2,"SBrkr",1145,1053,0,2198,1,0,2,1,4,1,4,9,8,1,4,"Attchd",2000,3,3,836,4,4,3,192,84,0,0,0,0,1,1,"None",0,12,3,"WD","Normal",250000,3343
6,NA,"RL",85,14115,1,1,3,"Lvl","AllPub","Inside",3,"Mitchel","Norm","Norm","1Fam","1.5Fin",5,5,1993,1995,"Gable","CompShg","VinylSd","VinylSd","None",0,3,3,"Wood",5,4,2,7,732,2,0,64,796,"GasA",5,2,"SBrkr",796,566,0,1362,1,0,1,1,1,1,3,5,8,0,1,"Attchd",1993,2,2,480,4,4,3,40,30,0,320,0,0,1,4,"Shed",700,10,4,"WD","Normal",143000,2158
7,NA,"RL",75,10084,1,1,4,"Lvl","AllPub","Inside",3,"Somerst","Norm","Norm","1Fam","1Story",8,5,2004,2005,"Gable","CompShg","VinylSd","VinylSd","Stone",186,4,3,"PConc",6,4,4,7,1369,2,0,317,1686,"GasA",5,2,"SBrkr",1694,0,0,1694,1,0,2,0,3,1,4,7,8,1,5,"Attchd",2004,3,2,636,4,4,3,255,57,0,0,0,0,1,1,"None",0,8,2,"WD","Normal",307000,3380
8,NA,"RL",43,10382,1,1,3,"Lvl","AllPub","Corner",3,"NWAmes","PosN","Norm","1Fam","2Story",7,6,1973,1973,"Gable","CompShg","HdBoard","HdBoard","Stone",240,3,3,"CBlock",5,4,3,6,859,5,32,216,1107,"GasA",5,2,"SBrkr",1107,983,0,2090,1,0,2,1,3,1,3,7,8,2,4,"Attchd",1973,3,2,484,4,4,3,235,204,228,0,0,0,1,1,"Shed",350,11,4,"WD","Normal",200000,3197
9,NA,"RM",51,6120,1,1,4,"Lvl","AllPub","Inside",3,"OldTown","Artery","Norm","1Fam","1.5Fin",7,5,1931,1950,"Gable","CompShg","BrkFace","Wd Shng","None",0,3,3,"BrkTil",4,4,2,2,0,2,0,952,952,"GasA",4,2,"FuseF",1022,752,0,1774,0,0,2,0,2,2,3,8,7,2,4,"Detchd",1931,2,2,468,3,4,3,90,0,205,0,0,0,1,1,"None",0,4,3,"WD","Abnorml",129900,2726
10,NA,"RL",50,7420,1,1,4,"Lvl","AllPub","Corner",3,"BrkSide","Artery","Artery","2fmCon","1.5Unf",5,6,1939,1950,"Gable","CompShg","MetalSd","MetalSd","None",0,3,3,"BrkTil",4,4,2,7,851,2,0,140,991,"GasA",5,2,"SBrkr",1077,0,0,1077,1,0,1,0,2,2,3,5,8,2,4,"Attchd",1939,3,1,205,5,4,3,0,4,0,0,0,0,1,1,"None",0,1,3,"WD","Normal",118000,2068
11,NA,"RL",70,11200,1,1,4,"Lvl","AllPub","Inside",3,"Sawyer","Norm","Norm","1Fam","1Story",5,5,1965,1965,"Hip","CompShg","HdBoard","HdBoard","None",0,3,3,"CBlock",4,4,2,4,906,2,0,134,1040,"GasA",5,2,"SBrkr",1040,0,0,1040,1,0,1,0,3,1,3,5,8,0,1,"Detchd",1965,2,1,384,4,4,3,0,0,0,0,0,0,1,1,"None",0,2,3,"WD","Normal",129500,2080
12,NA,"RL",85,11924,1,1,3,"Lvl","AllPub","Inside",3,"NridgHt","Norm","Norm","1Fam","2Story",9,5,2005,2006,"Hip","CompShg","WdShing","Wd Shng","Stone",286,5,3,"PConc",6,4,2,7,998,2,0,177,1175,"GasA",5,2,"SBrkr",1182,1142,0,2324,1,0,3,0,4,1,5,11,8,2,5,"BuiltIn",2005,4,3,736,4,4,3,147,21,0,0,0,0,1,1,"None",0,7,1,"New","Partial",345000,3499
13,NA,"RL",24,12968,1,1,2,"Lvl","AllPub","Inside",3,"Sawyer","Norm","Norm","1Fam","1Story",5,6,1962,1962,"Hip","CompShg","HdBoard","Plywood","None",0,3,3,"CBlock",4,4,2,6,737,2,0,175,912,"GasA",3,2,"SBrkr",912,0,0,912,1,0,1,0,2,1,3,4,8,0,1,"Detchd",1962,2,1,352,4,4,3,140,0,0,0,176,0,1,1,"None",0,9,3,"WD","Normal",144000,1824
14,NA,"RL",91,10652,1,1,3,"Lvl","AllPub","Inside",3,"CollgCr","Norm","Norm","1Fam","1Story",7,5,2006,2007,"Gable","CompShg","VinylSd","VinylSd","Stone",306,4,3,"PConc",5,4,4,2,0,2,0,1494,1494,"GasA",5,2,"SBrkr",1494,0,0,1494,0,0,2,0,3,1,4,7,8,1,5,"Attchd",2006,3,3,840,4,4,3,160,33,0,0,0,0,1,1,"None",0,8,2,"New","Partial",279500,2988
15,NA,"RL",21,10920,1,1,3,"Lvl","AllPub","Corner",3,"NAmes","Norm","Norm","1Fam","1Story",6,5,1960,1960,"Hip","CompShg","MetalSd","MetalSd","BrkFace",212,3,3,"CBlock",4,4,2,5,733,2,0,520,1253,"GasA",3,2,"SBrkr",1253,0,0,1253,1,0,1,1,2,1,3,5,8,1,3,"Attchd",1960,3,1,352,4,4,3,0,213,176,0,0,0,1,3,"None",0,5,3,"WD","Normal",157000,2506
16,NA,"RM",51,6120,1,1,4,"Lvl","AllPub","Corner",3,"BrkSide","Norm","Norm","1Fam","1.5Unf",7,8,1929,2001,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,3,3,"BrkTil",4,4,2,2,0,2,0,832,832,"GasA",5,2,"FuseA",854,0,0,854,0,0,1,0,2,1,3,5,8,0,1,"Detchd",1991,2,2,576,4,4,3,48,112,0,0,0,0,1,5,"None",0,7,2,"WD","Normal",132000,1686
17,NA,"RL",52,11241,1,1,3,"Lvl","AllPub","CulDSac",3,"NAmes","Norm","Norm","1Fam","1Story",6,7,1970,1970,"Gable","CompShg","Wd Sdng","Wd Sdng","BrkFace",180,3,3,"CBlock",4,4,2,6,578,2,0,426,1004,"GasA",5,2,"SBrkr",1004,0,0,1004,1,0,1,0,2,1,3,5,8,1,4,"Attchd",1970,4,2,480,4,4,3,0,0,0,0,0,0,1,1,"Shed",700,3,5,"WD","Normal",149000,2008
18,NA,"RL",72,10791,1,1,4,"Lvl","AllPub","Inside",3,"Sawyer","Norm","Norm","Duplex","1Story",4,5,1967,1967,"Gable","CompShg","MetalSd","MetalSd","None",0,3,3,"Slab",1,1,1,1,0,1,0,0,0,"GasA",3,2,"SBrkr",1296,0,0,1296,0,0,2,0,2,2,3,6,8,0,1,"CarPort",1967,2,2,516,4,4,3,0,0,0,0,0,0,1,1,"Shed",500,10,1,"WD","Normal",90000,1296
19,NA,"RL",66,13695,1,1,4,"Lvl","AllPub","Inside",3,"SawyerW","RRAe","Norm","1Fam","1Story",5,5,2004,2004,"Gable","CompShg","VinylSd","VinylSd","None",0,3,3,"PConc",4,4,2,7,646,2,0,468,1114,"GasA",5,2,"SBrkr",1114,0,0,1114,1,0,1,1,3,1,4,6,8,0,1,"Detchd",2004,2,2,576,4,4,3,0,102,0,0,0,0,1,1,"None",0,6,3,"WD","Normal",159000,2228
20,NA,"RL",70,7560,1,1,4,"Lvl","AllPub","Inside",3,"NAmes","Norm","Norm","1Fam","1Story",5,6,1958,1965,"Hip","CompShg","BrkFace","Plywood","None",0,3,3,"CBlock",4,4,2,3,504,2,0,525,1029,"GasA",3,2,"SBrkr",1339,0,0,1339,0,0,1,0,3,1,3,6,7,0,1,"Attchd",1958,2,1,294,4,4,3,0,0,0,0,0,0,1,4,"None",0,5,4,"COD","Abnorml",139000,2368
21,NA,"RL",101,14215,1,1,3,"Lvl","AllPub","Corner",3,"NridgHt","Norm","Norm","1Fam","2Story",8,5,2005,2006,"Gable","CompShg","VinylSd","VinylSd","BrkFace",380,4,3,"PConc",6,4,4,2,0,2,0,1158,1158,"GasA",5,2,"SBrkr",1158,1218,0,2376,0,0,3,1,4,1,4,9,8,1,5,"BuiltIn",2005,3,3,853,4,4,3,240,154,0,0,0,0,1,1,"None",0,11,1,"New","Partial",325300,3534
22,NA,"RM",57,7449,1,3,4,"Bnk","AllPub","Inside",3,"IDOTRR","Norm","Norm","1Fam","1.5Unf",7,7,1930,1950,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,3,3,"PConc",4,4,2,2,0,2,0,637,637,"GasA",5,2,"FuseF",1108,0,0,1108,0,0,1,0,3,1,4,6,8,1,5,"Attchd",1930,2,1,280,4,4,1,0,0,205,0,0,0,1,5,"None",0,6,2,"WD","Normal",139400,1745
23,NA,"RL",75,9742,1,1,4,"Lvl","AllPub","Inside",3,"CollgCr","Norm","Norm","1Fam","1Story",8,5,2002,2002,"Hip","CompShg","VinylSd","VinylSd","BrkFace",281,4,3,"PConc",5,4,2,2,0,2,0,1777,1777,"GasA",5,2,"SBrkr",1795,0,0,1795,0,0,2,0,3,1,4,7,8,1,5,"Attchd",2002,3,2,534,4,4,3,171,159,0,0,0,0,1,1,"None",0,9,3,"WD","Normal",230000,3572
24,NA,"RM",44,4224,1,1,4,"Lvl","AllPub","Inside",3,"MeadowV","Norm","Norm","TwnhsE","1Story",5,7,1976,1976,"Gable","CompShg","CemntBd","CmentBd","None",0,3,3,"PConc",5,4,2,7,840,2,0,200,1040,"GasA",3,2,"SBrkr",1060,0,0,1060,1,0,1,0,3,1,3,6,8,1,4,"Attchd",1976,2,2,572,4,4,3,100,110,0,0,0,0,1,1,"None",0,6,2,"WD","Normal",129900,2100
25,NA,"RL",80,8246,1,1,3,"Lvl","AllPub","Inside",3,"Sawyer","Norm","Norm","1Fam","1Story",5,8,1968,2001,"Gable","CompShg","Plywood","Plywood","None",0,3,4,"CBlock",4,4,3,4,188,6,668,204,1060,"GasA",5,2,"SBrkr",1060,0,0,1060,1,0,1,0,3,1,4,6,8,1,4,"Attchd",1968,2,1,270,4,4,3,406,90,0,0,0,0,1,4,"None",0,5,5,"WD","Normal",154000,2120
